area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Atlantic, Eastern Central",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.2358873681,0.05163068580989401
"Atlantic, Eastern Central",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,purse seine,Direct human consumption,5.6612968354,1.2391364594374552
"Atlantic, Eastern Central",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,gillnet,Direct human consumption,210.3525605406,46.041664070972956
"Atlantic, Eastern Central",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,pots or traps,Direct human consumption,1.0025213146,0.21943041469204996
"Atlantic, Eastern Central",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,small scale trammel net,Direct human consumption,0.8845776305,0.19361507178710208
"Atlantic, Eastern Central",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Venezuela",Industrial,Landings,Reported,mixed gear,Direct human consumption,114.0333374757,28.09744203515552
"Atlantic, Southwest",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Venezuela",Industrial,Landings,Reported,mixed gear,Direct human consumption,131.7804226330,32.47026587369968
"Atlantic, Eastern Central",high_seas,1951,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Israel",Industrial,Landings,Reported,unknown by source,Direct human consumption,1.1170877069,4445.3658933819925
"Atlantic, Eastern Central",high_seas,1951,"Lamna nasus","Porbeagle","Large sharks (>=90 cm)","Sharks & rays","Norway",Industrial,Landings,Reported,longline,Direct human consumption,57.4853179776,59437.1128973969
"Atlantic, Eastern Central",high_seas,1951,"Lamna nasus","Porbeagle","Large sharks (>=90 cm)","Sharks & rays","Norway",Industrial,Landings,Reported,longline,Fishmeal and fish oil,0.0360913328,0.0007913735344510853
"Atlantic, Eastern Central",high_seas,1951,"Lamna nasus","Porbeagle","Large sharks (>=90 cm)","Sharks & rays","Norway",Industrial,Landings,Reported,longline,Other,0.0497069017,0.0010899216934839172
"Atlantic, Eastern Central",high_seas,1951,"Auxis thazard","Frigate tuna","Medium pelagics (30 - 89 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,mixed gear,Direct human consumption,45.6317988518,46802.547859193226
"Atlantic, Southwest",high_seas,1951,"Auxis thazard","Frigate tuna","Medium pelagics (30 - 89 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,mixed gear,Direct human consumption,54.2424868646,55634.15537759519
"Atlantic, Eastern Central",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0588896643,77.09954978344788
"Atlantic, Eastern Central",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0000294743,8.605484157694626e-07
"Atlantic, Eastern Central",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,bottom trawl,Other,0.0000294743,8.605484157694626e-07
"Atlantic, Eastern Central",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,purse seine,Direct human consumption,0.2944483215,385.4977489172388
"Atlantic, Eastern Central",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.0001473715,4.302742078847299e-06
"Atlantic, Eastern Central",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,purse seine,Other,0.0001473715,4.302742078847299e-06
"Atlantic, Eastern Central",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.5894861291,771.7672650995784
"Atlantic, Southwest",high_seas,1951,"Scomberomorus brasiliensis","Serra Spanish mackerel","Large pelagics (>=90 cm)","Perch-likes","Venezuela",Industrial,Landings,Reported,mixed gear,Direct human consumption,1.3952330043,5157.840461364553
"Atlantic, Eastern Central",high_seas,1951,"Thunnus obesus","Bigeye tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Portugal",Industrial,Landings,Reported,pole and line,Direct human consumption,21.8507274615,28821.540396180597
