area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Cameroon",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,small scale trammel net,Direct human consumption,0.0037636113,0.0005498786051752511
"Cameroon",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0868498112,0.012689103431806018
"Cameroon",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0005293513,0.6205845023978463
"Cayman Isl. (UK)",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0039972526,0.0005840145365426155
"Cayman Isl. (UK)",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0011866844,0.00017337931553608867
"Cayman Isl. (UK)",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0011413654,1.3380785328459794
"Cayman Isl. (UK)",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0005406468,0.6338266734533581
"Cayman Isl. (UK)",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0004805749,0.5634014875140961
"Cayman Isl. (UK)",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,small scale trammel net,Direct human consumption,0.0065579926,0.0009581488490152301
"Cayman Isl. (UK)",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0010617702,0.0001551288612691319
"Cayman Isl. (UK)",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,gillnet,Direct human consumption,0.1513334869,0.02211042534441804
"Cayman Isl. (UK)",eez,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts",Industrial,Discards,Unreported,gillnet,,0.0013670604
"Congo, R. of",eez,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts",Industrial,Discards,Unreported,gillnet,,0.0393747040
"Congo, R. of",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0305815957,0.004468092975400042
"Congo, R. of",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0341794305,0.004993750972505928
"Congo, R. of",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0401249538,47.040448258033656
"Congo, R. of",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0190065571,22.28231759591068
"Congo, R. of",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0168947174,19.80650452969837
"Congo, R. of",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,small scale trammel net,Direct human consumption,0.1888863267,0.027597044848059072
